name_a,name_b,n,mean_a,mean_b,mean_diff,wilcoxon_p,permutation_p,cliffs_delta,rank_biserial,effect_label,wilcoxon_p_corr,permutation_p_corr,significant,protocol,metric,metric_label,higher_is_better
MultiAgentRL_ddqn,Threshold10_C64,5,343.9272239999999,570.7903980000001,-226.863174,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_ddqn,WorkloadAwareThreshold,5,343.9272239999999,572.5009422,-228.57371820000003,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_mlp_ppo,Threshold10_C128,5,637.1669238,330.6657434,306.50118039999995,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_mlp_ppo,Threshold10_C64,5,637.1669238,570.7903980000001,66.3765258,0.3125,0.25,0.2,0.6,small,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_mlp_ppo,WorkloadAwareThreshold,5,637.1669238,572.5009422,64.66598159999998,0.8125,0.5,0.2,0.2,small,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
Threshold10_C128,Threshold10_C64,5,330.6657434,570.7903980000001,-240.12465459999999,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
Threshold10_C128,WorkloadAwareThreshold,5,330.6657434,572.5009422,-241.8351988,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
Threshold10_C64,WorkloadAwareThreshold,5,570.7903980000001,572.5009422,-1.7105442000000153,1.0,1.0,-0.04,0.06666666666666667,negligible,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
AlwaysCompact_C128,CompactOnlyRL_attentive_ppoclip,5,43.53360000000001,93.9798,-50.446200000000005,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
AlwaysCompact_C128,MultiAgentRL_attentive_ppoclip,5,43.53360000000001,89.6734,-46.139799999999994,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_file_count,File count,False
